사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2022-04,2호선,0233,대림(구로구청),543,16,32788,3425,31556,10174,63141,22294,89874,52429,59435,31962,34605,26135,29152,26295,31165,26309,30146,29242,27815,29282,28683,37517,32165,45155,40343,59047,49259,69481,25035,52052,17673,36005,13481,42962,10144,42232,4402,22681,16,1318,0,0,0,0,0,0
2022-04,2호선,0234,신도림,3542,53,32485,4703,47598,19814,125413,38245,132735,105218,82378,58706,55886,56090,53056,54097,61147,58414,63044,62571,61736,59326,64293,66101,73609,79164,90449,101762,117497,169055,66498,116832,55765,67895,57847,62527,44656,62665,18276,57507,99,17173,0,3,1,0,0,0
2022-04,2호선,0235,문래,8,1,3471,2241,12271,14011,40160,32889,45121,114742,24778,54638,18745,26558,18425,22260,22298,23008,25487,24367,24386,23176,26172,23898,34559,27321,56996,33844,99682,54535,34181,38489,23668,19453,24154,17429,20007,15510,8944,10869,19,988,0,0,0,0,0,0
2022-04,2호선,0236,영등포구청,42,2,5236,3114,11560,14211,37049,35752,43724,122107,26921,53582,21151,25103,22699,23159,24899,23486,25796,25287,26862,23390,29363,23941,34087,27637,52716,33147,102109,52498,33772,35342,24204,20357,23295,18519,18096,16813,7547,14076,24,1319,0,3,0,0,0,0
2022-04,2호선,0237,당산,23,2,6214,2654,15759,12045,43944,27464,54935,72934,34114,34455,23857,18109,23372,17508,23565,20522,23850,22955,21849,22172,23355,25820,27481,31594,41154,44714,59394,72240,26588,48532,20173,29952,19300,28870,17428,26510,7345,21592,26,999,0,0,0,0,0,0
2022-04,2호선,0238,합정,55,4,7548,2604,16584,13514,41715,29971,54893,89089,35494,79484,25817,44077,27394,44924,32656,46534,36403,52715,38720,50928,41414,49481,49714,58414,67619,74693,109221,107894,71773,72626,56275,37562,60913,29833,60606,26612,29262,20054,17,1300,0,0,0,0,0,0
2022-04,2호선,0239,홍대입구,557,13,15856,3254,22524,14334,55328,33947,74550,95722,47830,113262,35996,75180,42613,86531,54892,105598,63937,116614,69643,113492,83168,114546,105203,125235,133385,155099,160089,198706,124941,140462,121042,74030,143518,53831,155206,43937,75896,33860,619,6413,0,0,0,0,0,0
2022-04,2호선,0240,신촌,81,6,5414,2438,12852,12347,32511,31944,48959,73629,33781,80558,31890,52196,38096,47996,47206,52753,49070,59563,50563,54145,57453,49422,67225,54282,82343,70916,83064,97174,58107,65114,59178,36467,61790,31929,63599,27124,28419,22878,22,374,0,2,0,0,0,0
2022-04,2호선,0241,이대,36,2,3045,849,8123,7093,23550,11749,31804,34683,18756,31794,14216,22834,15746,18976,20136,20792,21157,24675,20883,19578,23710,19363,26594,21732,36485,26126,33928,36965,20461,27913,18018,17133,17528,17333,13959,17250,4349,14628,0,183,0,0,0,0,0,0
2022-04,2호선,0242,아현,36,0,4295,826,10694,6698,27317,13307,36103,22281,21447,12741,15121,10178,14213,9370,15541,11110,14854,12020,13509,13030,15856,13713,22479,16210,18991,21345,19854,30009,11492,23229,7987,14991,6738,14414,4627,13538,1589,9738,4,132,0,0,0,0,0,0
2022-04,2호선,0243,충정로(경기대입구),9,0,3024,1082,6302,6454,15226,22172,20843,55934,12988,26357,9714,12166,10456,10092,11093,9970,11591,11330,11927,10747,13729,10828,16955,11762,25263,14901,44741,19734,13470,14361,8604,8969,8435,9085,6614,8450,2709,6591,9,296,0,0,1,1,0,0
2022-04,2호선,0244,용답,1,0,2395,226,3181,1202,7727,1702,12147,4123,6778,6783,4536,3807,4355,3187,4965,3615,5019,5481,4406,3654,4886,4321,6597,5626,6323,6726,4473,10204,2578,6948,1890,4798,1353,5370,1191,5215,393,3652,1,0,0,0,0,0,0,0
2022-04,2호선,0245,신답,1,0,1010,102,1844,466,5958,989,9918,1548,4610,986,2285,1006,2098,1181,2108,1433,2001,1468,1825,1738,1677,2462,1820,3462,2003,4230,2218,9097,992,6515,555,3131,494,3530,390,2817,101,2273,1,29,0,1,0,0,0,0
2022-04,2호선,0246,신설동,29,1,1163,204,1412,1033,4245,3433,7121,8308,4881,5966,3886,5209,4928,4764,6075,4711,7071,4790,7749,4103,8538,3676,8839,3158,10322,3557,12611,4368,4568,3186,2719,2167,2280,1786,1789,1736,580,1424,3,157,2,0,0,0,0,0
2022-04,2호선,0247,도림천,1,0,251,290,1111,902,3119,4448,3242,5798,1958,2729,1752,1661,1901,1433,2499,2241,1724,1656,2290,2170,2790,1966,3674,2139,3137,2234,3748,2842,1975,2415,842,1549,809,1363,542,1068,205,941,0,78,0,0,0,0,0,0
2022-04,2호선,0248,양천구청,16,1,4384,818,10508,2167,31142,5050,28182,9495,16246,5122,10871,4226,9547,4996,10172,6251,8947,7320,7233,7535,7192,9372,7695,12367,8716,16737,9058,27015,4141,22547,2612,12875,2150,11965,1895,10759,534,8156,5,821,0,0,0,1,0,0
2022-04,2호선,0249,신정네거리,32,3,7854,742,16924,2472,46770,4904,43568,11489,23088,8148,16263,6950,15181,8407,15412,9874,13686,11166,11737,12149,10997,15854,11697,19676,12043,28169,11593,44588,6961,34573,5106,18482,3752,17846,3306,15457,1252,11093,9,987,0,0,0,0,0,0
2022-04,2호선,0250,용두(동대문구청),31,0,998,131,1520,973,4689,2250,8604,5464,4718,3608,3492,2964,3636,3250,3972,3017,3792,3547,3722,3899,4120,4213,4167,3938,4273,4429,5603,7432,2408,5314,1324,2760,1271,2939,657,2193,232,1682,0,39,0,0,0,0,0,0
2022-04,3호선,0309,지축,9,1,2252,1033,7891,6072,22281,4149,20587,4987,11289,3399,7561,2932,6398,3617,6428,4324,6135,4432,5697,4873,7055,5984,9847,8022,7827,9927,5091,17815,3134,14634,2015,9493,1338,7497,1035,7779,374,3808,2,3,0,1,0,0,0,0
